,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,subject
eta_1_pr,-0.6501456680056125,0.1751220433174608,0.7567407565689512,-1.901392431844783,-1.5852751584874334,-0.36224719388147564,-0.08452125576907743,0.40828122719068494,18.67293639316606,1.1709731280202833,308XBLVESI4LB741RISGCYG2G16RBR
eta_2_pr,0.033479651060052705,0.00893059096473406,0.2328197322024892,-0.40107490033294707,-0.120319499251903,0.021599539553456108,0.1764713343819651,0.5376844940971346,679.6403796686561,1.0034526508483343,308XBLVESI4LB741RISGCYG2G16RBR
w,0.08348668687357302,0.017125170047241216,0.10908381512194373,0.0010375869246272236,0.014320887101717944,0.03988113205037412,0.10350541277934411,0.4146381020208897,40.57428282286324,1.071410258900402,308XBLVESI4LB741RISGCYG2G16RBR
beta_1,5.588731378629848,0.9624279004114888,4.502591610472531,1.8104830860009902,2.629160313411555,3.275221016533947,8.088586447025822,16.85004156157829,21.887124410374234,1.1528308589212368,308XBLVESI4LB741RISGCYG2G16RBR
beta_2,3.2917079658603763,0.021141250824865416,0.5242757716856516,2.3337212024842513,2.933253603767732,3.280378100057634,3.625715915081655,4.400531318587483,614.976072660382,1.0021987891413608,308XBLVESI4LB741RISGCYG2G16RBR
eta_1,0.3125942225168867,0.04349300747226982,0.20273005045901618,0.028673221685268604,0.056586068574495524,0.35845408130948175,0.4662828087742655,0.658602387383712,21.726880614448945,1.1453531105056267,308XBLVESI4LB741RISGCYG2G16RBR
eta_2,0.512854603927191,0.003451481438932123,0.09029496626328701,0.34404728500704074,0.4520613732293379,0.5086261777933108,0.5701145069422694,0.7047400929987336,684.4094472519696,1.003490080477849,308XBLVESI4LB741RISGCYG2G16RBR
lp__,-217.6715277953601,0.18190488407626015,1.795965902354158,-221.74993949103447,-218.8222668206207,-217.51735718905536,-216.1664823394987,-214.97379152903272,97.47818951625672,1.0308024416108974,308XBLVESI4LB741RISGCYG2G16RBR
w_pr,2.1864256546813965,0.015477174254345978,0.49683184029299415,1.3260593034641062,1.8432455191551478,2.149757818779013,2.4776460588281735,3.2819106717780824,1030.4703413533905,0.9986967201685659,30BUDKLTXDVUDNIN42H3A5HRREEE5G
beta_1_pr,3.71938706769524,0.02452318607970053,0.7746882563218145,2.2159665885044015,3.1933691149214356,3.721927466134824,4.246973782092395,5.238459162194482,997.930181846735,1.000064066898483,30BUDKLTXDVUDNIN42H3A5HRREEE5G
beta_2_pr,0.3475842701815418,0.0027465330585966894,0.08104437389592113,0.2085280552636873,0.29017991490625206,0.3396399168514343,0.39570778646194127,0.5229740160569215,870.7151107353317,1.0000259594846037,30BUDKLTXDVUDNIN42H3A5HRREEE5G
eta_1_pr,-2.185267741033704,0.0033806666324917908,0.10914686893404635,-2.3803975852007127,-2.2586776293439788,-2.189585968739945,-2.1226205089754333,-1.9622097384477715,1042.360316970285,1.0007622169217751,30BUDKLTXDVUDNIN42H3A5HRREEE5G
eta_2_pr,0.20003199132962413,0.015420388781124875,0.4350289275841402,-0.47847713158148153,-0.0893164005076606,0.1489502058096488,0.4248884610085433,1.1977039911744958,795.8763996292571,1.0002987089573059,30BUDKLTXDVUDNIN42H3A5HRREEE5G
w,0.9761919861318151,0.0006833220490160102,0.024602724910777328,0.9074627059618119,0.9672847466932231,0.9842566384330538,0.9935131917875537,0.9995639819119438,1296.3299423375258,0.998372097091132,30BUDKLTXDVUDNIN42H3A5HRREEE5G
beta_1,37.19387067695239,0.24523186079700537,7.746882563218145,22.159665885044014,31.933691149214354,37.21927466134824,42.469737820923946,52.38459162194481,997.9301818467342,1.000064066898483,30BUDKLTXDVUDNIN42H3A5HRREEE5G
beta_2,3.4758427018154188,0.02746533058596688,0.8104437389592112,2.085280552636873,2.90179914906252,3.3963991685143426,3.9570778646194125,5.229740160569215,870.7151107353321,1.0000259594846037,30BUDKLTXDVUDNIN42H3A5HRREEE5G
eta_1,0.01488179741794384,0.00015509279236776267,0.004673300034692387,0.008538247801415514,0.011873273645519123,0.014219964020497071,0.016858477975111037,0.024894244631213928,907.9545268997952,1.0006253485591203,30BUDKLTXDVUDNIN42H3A5HRREEE5G
eta_2,0.5692709435200877,0.005090757868111712,0.14660371527273244,0.3160154232238843,0.4643749344236971,0.5592690349854093,0.6646785368506092,0.8843883859483767,829.3255980827207,0.9995407352355958,30BUDKLTXDVUDNIN42H3A5HRREEE5G
lp__,-226.44490081306975,0.06741919895099596,1.6691675628906804,-230.75809004390314,-227.27720122389132,-226.11959846817388,-225.1759470191496,-224.23750229140273,612.9607932487651,1.0012987768169088,30BUDKLTXDVUDNIN42H3A5HRREEE5G
w_pr,-1.7387390727359413,0.03183241165296778,0.6758471992342662,-3.0464449632564814,-2.160666838003334,-1.75253947125568,-1.34139793200719,-0.46590366726028926,450.7730589096994,1.0033851323673402,30BUDKLTXDVUDNIN42H3A5HRS51E5M
beta_1_pr,0.20829263256405664,0.00946658030937382,0.15119019160550068,0.07758703805628132,0.14462911946644302,0.1832374303177267,0.23373250607338605,0.5159445768303059,255.07094297174018,1.0072541758022293,30BUDKLTXDVUDNIN42H3A5HRS51E5M
beta_2_pr,0.13308784945799457,0.0013710729228312978,0.04143320622179723,0.06407459532158297,0.10244226202628992,0.12843460292134568,0.15902777076478986,0.22573254214717925,913.2211791324204,0.9983359320777477,30BUDKLTXDVUDNIN42H3A5HRS51E5M
eta_1_pr,-0.2403031468785648,0.02819246299874619,0.5179663202065151,-1.5041683054303505,-0.47808343729863734,-0.19559910848382644,0.06318164696194295,0.6597487848512116,337.5491391285593,0.9996158609459194,30BUDKLTXDVUDNIN42H3A5HRS51E5M
eta_2_pr,0.3158800733806473,0.019820351148039383,0.6425159745821775,-0.7962948914789639,-0.14577052533625473,0.25483732659551606,0.7128858450305192,1.7401792143111532,1050.860748753958,0.9989061530455996,30BUDKLTXDVUDNIN42H3A5HRS51E5M
w,0.0729411024304672,0.00643271520583045,0.10460092009844166,0.0010457443435773033,0.015312991799523145,0.03993830246729345,0.09002559008531952,0.32050292597785124,264.4127302803429,1.0053133291097576,30BUDKLTXDVUDNIN42H3A5HRS51E5M
beta_1,2.082926325640566,0.09466580309373823,1.5119019160550067,0.7758703805628133,1.4462911946644303,1.832374303177267,2.3373250607338605,5.15944576830306,255.07094297174,1.0072541758022293,30BUDKLTXDVUDNIN42H3A5HRS51E5M
